label,nodeType,order,path,price,description,link,imageLink,Swiggy
Butterscotch Thick Shake Large,ProductUnit,54,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,Butterscotch Thick Shake,",70,,https://drive.google.com/file/d/1UD-lwk9fz8eKb7Il9_hHJVl3bpq2ghDB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/ButterscotchThickShakeLarge.jpg,
Pineapple Thick Shake,ProductType,55,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,",70,,https://drive.google.com/file/d/14kOT2RH9tHG-INa-tXu7nZmtVld70nA-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Pineapple-Thick-Shake.png,80
Pineapple Thick Shake Medium,ProductUnit,56,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,Pineapple Thick Shake,",60,,https://drive.google.com/file/d/1R9Tgrp56ApMoP3AL98tyPY38g_rudZIa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/PineappleThickShakeMedium.jpg,
Pineapple Thick Shake Large,ProductUnit,57,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,Pineapple Thick Shake,",70,,https://drive.google.com/file/d/19MrTtIxYY5rtOCL7rnyelm0eVjq4PY5w/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/PineappleThickShakeLarge.jpg,
Kesar Pista Thick Shake,ProductType,58,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,",70,,https://drive.google.com/file/d/1-ekEUnbsQejwQkDXZOTlgRCob1Wz4VHa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/MAYFILES/KesarPistaThickShake.jpg,80
Kesar Pista Thick Shake Medium,ProductUnit,59,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,Kesar Pista Thick Shake,",60,,https://drive.google.com/file/d/1Iqd4VyM4mPw8mF4PEd53ef4LbP4__Y4q/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/KesarPistaThickShakeMedium.jpg,
Kesar Pista Thick Shake Large,ProductUnit,60,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,Kesar Pista Thick Shake,",70,,https://drive.google.com/file/d/139mndhZNyoANtpYxiGn2B726xDEd-QMO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/KesarPistaThickShakeLarge.jpg,
Special Magic Thick Shake,ProductType,61,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,",70,,https://drive.google.com/file/d/1PpvI4bzEE8Kp9QP6vQhdUcF42punUVe7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/SpecialMagicThickShake.jpg,80
Special Magic Thick Shake Medium,ProductUnit,62,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,Special Magic Thick Shake,",60,,,,
Special Magic Thick Shake Large,ProductUnit,63,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,Special Magic Thick Shake,",70,,,,
Anjeer Thick Shake,ProductType,64,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,",60,,https://drive.google.com/file/d/1VvahlttjRRpAtcKhq9AZhUZ1v0RXzEAq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/MAYFILES/AnjeerThickShake.jpg,80
Anjeer Thick Shake Medium,ProductUnit,65,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,Anjeer Thick Shake,",50,,https://drive.google.com/file/d/19eQLx2JuTu1_WRtxyR2GjvNbpNuzJg7o/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/AnjeerThickShakeMedium.jpg,
Anjeer Thick Shake Large,ProductUnit,66,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,Anjeer Thick Shake,",60,,https://drive.google.com/file/d/1r0UF963Lp7b8cDk5rX0Cqg3SCNNh097D/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/AnjeerThickShakeLarge.jpg,
Kaju Badam Thick Shake,ProductType,67,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,",80,,https://drive.google.com/file/d/1HyzalkqFyi-lxAHY2pUbz5d83wnz-NZQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/MAYFILES/KajuBadamThickShake.jpg,90
Kaju Badam Thick Shake Medium,ProductUnit,68,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,Kaju Badam Thick Shake,",70,,https://drive.google.com/file/d/1ZfTz_DWZn6AFSdNxlUSltq6xFFFkadAQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food240522/KajuBadamThickShakeMedium.jpg,
Kaju Badam Thick Shake Large,ProductUnit,69,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,Kaju Badam Thick Shake,",80,,https://drive.google.com/file/d/1gtzZvNayCuriKvUGVwhMM2TW5JI_VVyd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/KajuBadamThickShakeLarge.jpg,
