label,nodeType,order,path,price,description,ingredients,link,imageLink
Mutton Masala,ProductType,24,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",170,," mutton,  oil, onions finely sliced,  gingergarlic paste,  salt,  chilli powder red,  turmeric powder,  coriander powder,          cumin powder,  finely chopped,  finely chopped,  yogurt,          coriander leaves chopped,mutton masala powder, garam masala powder,",https://drive.google.com/file/d/1-4YOHkbknBQIIukm4yZwJM6f8unGYrqS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/NonVegeterian/MuttonMasala.jpg
Mutton Maharaja,ProductType,25,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",170,,,https://drive.google.com/file/d/1QYlDYZaAtY8pK8esV8Zrq21tPP5vwxE1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/MuttonMaharaja.jpg
Mutton Kurma,ProductType,26,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",170,,"  boneless skinless mutton,  extra virgin olive oil,  garam masala,  curry powder,  salt,  freshly ground black pepper,etc",https://drive.google.com/file/d/1573aLpd7mS5whJ8J4lHStglNJtqcYkAe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/MuttonKurma.jpg
Mutton Kolhapuri,ProductType,27,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",170,,"  mutton,   poppy seeds,
 finely chopped onion,
 handful chopped coriander leaves,  chilli powder,
   garlic paste,  garam masala powder,   sesame seeds,  powdered turmeric,
 large chopped ma,salt ,   ginger paste,
  grated coconut,  grated coconut,
  refined oil.",https://drive.google.com/file/d/1RJcCHg8Q0w4v8uFNs-RxxWui8qSGS6eD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonKolhapuri.jpg
Mutton Patiala,ProductType,28,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",170,,,https://drive.google.com/file/d/1Q6Q9BD475f8JSUDlMvwdP9syMlZZkLVM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/MuttonPatiala.jpg
Mutton Curry,ProductType,29,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",170,,"mutton,  coriander powder, onions thinly sliced,  Garlic paste,salt ,  ghee,  water,  ghee,  Yoghurt,  Ginger Paste,  red chilli powder,
  finely chopped,  Garam masala powder,  turmeric,etc.",https://drive.google.com/file/d/1CP3wcgWMWMVL_sPTGa280Id7ztTSw8-C/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/NonVegeterian/MuttonCurry.jpg
Mutton Afghani,ProductType,30,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",170,,,https://drive.google.com/file/d/13uUwYzdsswBh6aFoIQVYJVWfmkZVT-Qp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220217/MuttonAfghani.jpg
Mutton Zaika,ProductType,31,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",230,,,https://drive.google.com/file/d/1VUZ2EAJdYNDPWeGARC5KmYoxR98FXj_j/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/MuttonZaika.jpg
Mutton Mughlai,ProductType,32,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",230,,,https://drive.google.com/file/d/1bo2qiBXkIDblnParmmXE38A0LYlKOlTs/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonMughlai.jpg
Mutton Peshawari,ProductType,33,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",230,,,https://drive.google.com/file/d/13ek-qY_3mL8QLCjBbZFYWvUk93yLDmOP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/MuttonPeshawari.jpg
Mutton Deheli,ProductType,34,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",230,,,,
Mutton Lakhnavi,ProductType,35,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",230,,,https://drive.google.com/file/d/1OMjYbbjuu6MHOekI6T7w7GJpDqU0cZjA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/MuttonLakhnavi.jpg
Mutton Hyderabadi,ProductType,36,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",230,,,https://drive.google.com/file/d/1kPUTpvkvYdUE34RBwE5zp36JGKWgXkbj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/MuttonHyderabadi.jpg
Mutton Jaipuri,ProductType,37,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",230,,"Chicken  ,Ginger garlic  ,Cream  ,Onion chopped  ,Allspice  ,Chili powder  ,Coriander leaves  ,Oil  , chopped ,Fennel seeds  ,Cumin seeds  ,Turmeric  ,Salt  .",,
Mutton Irani,ProductType,38,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",230,,"mutton, cloves,  cinnamon,  curd,  coriander seeds,  onion,  red chilli powder , black cardamoms, ,  cumin seeds,Few coriander leaves,Long and thin strips of ginger,Salt .",https://drive.google.com/file/d/1PanrAyAIDudizBdvv6IUD57NtrWURu7A/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/MuttonIrani.jpg
Mutton Stew,ProductType,39,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",250,,"mutton, onion, carrot,   wheat flour,  milk,salt , cloves garlic, pota, bean green,  chicken stock,  powdered black pepper,  butter.",https://drive.google.com/file/d/1-2lRYLilZqA31Q9uvgeE2-CQ7GW0H4ti/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/MuttonStew.jpeg
Mutton Chatpata,ProductType,40,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",250,,,https://drive.google.com/file/d/1F3y4WKG2WZ9puWdjMKOdjT3O_nmxmJxg/view?usp=sharing,
Mutton Kadai,ProductType,41,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",250,,"  washed & dried mutton, crushed  paste garlic,  mustard oil,  garam masala powder,  powdered turmeric, bay leaf, crushed  paste ginger,  crushed  paste onion,  cumin seeds,  powdered red peppers, sprigs chopped coriander leaves.",https://drive.google.com/file/d/1CWP_XeXaMQP6aTqm6VSYTZp0lckEjU9o/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/MuttonKadai.jpg
Mutton Achari,ProductType,42,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",250,,"mutton,  yoghurt curd, 
  achari masala,  coriander powder,  refined oil, green chilli,  garam masala powder,  turmeric, large onion,  red chilli powder,salt ,water .",https://drive.google.com/file/d/1E3pI3BtGcGh-lVp3BFavj-DjEu2QOiYG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/MuttonAchari.jpg
Mutton Do Pyaza,ProductType,43,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",280,,"  fenugreek seeds,  ginger paste  onion,  ghee, leaf bay leaf, clove,  garam masala powder,  coriander powder, green chilli,  coriander leaves,  fennel seeds,  garlic paste,mutton,  cumin seeds, peppercorns,  red chilli powder.",https://drive.google.com/file/d/1dhgVT3Q9tzl_iHFrL4-8Oa7wNRqHLgfg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/MuttonDopyaza.jpg
Mutton Maharaja Handi,ProductType,44,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",1200,,"mutton ,Ghee  ,Onions  large chopped,Garlic   crushed,Green chile  chopped seeded,Red Chile  seeded Whole red Kashmiri chilies,Black cumin seeds  ,Garam masala  ,Ground pepper  ,Lemon juice  ,Pistachios   crushed,Salt .",,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220511/MuttonMaharajaHandi.jpg
Mutton Zaika Handi,ProductType,45,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",1200,,,https://drive.google.com/file/d/1o6eetnyRaNM0_SULWkekPYTzyfw59lhC/view?usp=sharing,
Mutton Peshawari Handi,ProductType,46,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",1200,,,https://drive.google.com/file/d/1JX87lkDqlU72WCzz4K0GfRIkDJokuLLu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/MuttonPeshawariHandi.jpg
Mutton Dehali Handi,ProductType,47,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",1200,,"  lamb, handful mint,  yoghurt curd,  red chilli powder, black cardamom,  garlic paste,  coriander powder,  onion,  mustard oil,  turmeric, green cardamom,  ginger paste,  garam masala powder,salt ",,
Mutton Lakhnowi Handi,ProductType,48,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",1200,,,https://drive.google.com/file/d/16waIUy0NoyM9NSdlq1iBGxyz10aIrFmt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/MuttonLakhnowiHandi.jpg
Mutton Jaipuri Handi,ProductType,49,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",1200,,,https://drive.google.com/file/d/1ZM-e6ZOERmoK-DDVlTpWEbA9VPWHA43Q/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/MuttonJaipuriHandi.jpg
Mutton Stew Handi,ProductType,50,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",1200,,,https://drive.google.com/file/d/1kHgqDKmI4e1biVVouCt8Koq4jDVCHBxj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/MuttonStewHandi.jpg
Mutton Chatpata Handi,ProductType,51,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",1350,,,https://drive.google.com/file/d/1LEAJAxMVZncLenaGJENc8hLoJ6rK_nbI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/MuttonChatpataHandi.jpg
Chicken Kabab Starters,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://drive.google.com/file/d/1H8wAkZdY29Jaz2hEub6bkr4BI_7hwebN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/ChickenKababStarters.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Chicken Kabab Starters,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Chicken Kabab Starters,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Chicken Tandoor,ProductType,4,"Inventory,Food,Restaurant,Chicken Kabab Starters,NonVegeterian,",380,,,https://drive.google.com/file/d/1U-soo9p63ukGir9Hu7tarA1nK945ysD_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/ChickenTandoor.jpg
Chicken Irani Kabab,ProductType,5,"Inventory,Food,Restaurant,Chicken Kabab Starters,NonVegeterian,",110,,"Boneless chicken   ,Onion   ,Capsicum   ,Roasted fenugreek powder   ,Pepper powder   ,Red chilli powder   ,Salt  .",https://drive.google.com/file/d/13LdlK6wDR9vMy_Vxq12hGnaO4Itv2TxP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodinventoryimages1112062022/ChickenIraniKabab.jpg
Chicken Tangadi Kabab,ProductType,6,"Inventory,Food,Restaurant,Chicken Kabab Starters,NonVegeterian,",180,,,https://drive.google.com/file/d/1RPa9XrFPGuwsmLHM1sRtgB5YQ4jLj7L5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenTangadiKabab.jpg
Chicken Reshmi Kabab,ProductType,7,"Inventory,Food,Restaurant,Chicken Kabab Starters,NonVegeterian,",110,,,https://drive.google.com/file/d/16Vxq6L6LoMhf56sjjbIJ1Gs2wH-x2koB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenReshmiKabab.jpg
Chicken Tikka Kabab,ProductType,8,"Inventory,Food,Restaurant,Chicken Kabab Starters,NonVegeterian,",180,,,https://drive.google.com/file/d/1_WM1g_4F1zLLMN8IrYDDil1A_ZOhesT4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenTikkaKabab.jpg
