label,nodeType,order,path,price,description,link,imageLink,Zomato,Swiggy
Extra Pav,ProductType,5,"Inventory,Food,Restaurant,Pav Bhaji,Vegeterian,",8,,https://drive.google.com/file/d/1zYqEN7zZK3kGGbNA9YdfHQqIKF7dB0-k/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ExtraPav.jpg,,
Sagar Special Pav Bhaji,ProductType,6,"Inventory,Food,Restaurant,Pav Bhaji,Vegeterian,",120,,,,120,120
Paneer Pav Bhaji,ProductType,7,"Inventory,Food,Restaurant,Pav Bhaji,Vegeterian,",100,,https://drive.google.com/file/d/1l_S5glnUXhoJStDBPtxC5PhKpHN411lg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerPavBhaji.jpg,100,100
Mushroom Pav Bhaji,ProductType,8,"Inventory,Food,Restaurant,Pav Bhaji,Vegeterian,",100,,https://drive.google.com/file/d/1xId8w2_tJJ9pA_p0DkquMugSvvcfPcvi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/MushroomPavBhaji.jpg,100,100
Cheese Pav Bhaji,ProductType,9,"Inventory,Food,Restaurant,Pav Bhaji,Vegeterian,",120,,https://drive.google.com/file/d/1gjL6a4ltx1oCxoC4q-OU3DlxU2GebEvl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/CheesePavBhaji.jpg,,
Fresh Fruit Juice,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1YZAk-1PSYNEsPyeqRDsj1Kgk50c-N5pG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/FreshFruitJuice.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Fresh Fruit Juice,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Fresh Fruit Juice,",,,,,,
Mix Juice,ProductType,4,"Inventory,Food,Restaurant,Fresh Fruit Juice,Vegeterian,",90,,https://drive.google.com/file/d/1L5IHjoQIkIx3300TL2BHvtOKnAh1pbNb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MixJuice.jpg,90,90
Mango Juice,ProductType,5,"Inventory,Food,Restaurant,Fresh Fruit Juice,Vegeterian,",100,,https://drive.google.com/file/d/1Z2ndzc3lm0bwIqXvHXUUWbBmlXq4if_k/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Mangojuice.png,100,100
Pineapple Juice,ProductType,6,"Inventory,Food,Restaurant,Fresh Fruit Juice,Vegeterian,",90,,https://drive.google.com/file/d/1ZEbR-NEdaJrVFOlCKFWiOWfhZr80EI-t/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Pineapple-juice.jpg,90,90
Mosambi Juice,ProductType,7,"Inventory,Food,Restaurant,Fresh Fruit Juice,Vegeterian,",90,,https://drive.google.com/file/d/1oMSUzAgQZveNg02BgFvjJSEcm_8ANf70/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MosambiJuice.jpg,90,90
Fresh Lime Juice,ProductType,8,"Inventory,Food,Restaurant,Fresh Fruit Juice,Vegeterian,",60,,https://drive.google.com/file/d/1laLm5ohxQDBHs4HpBHI5oaibE3vBXSxi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/FreshLimeJuice.jpg,,
Fresh Lime Soda,ProductType,9,"Inventory,Food,Restaurant,Fresh Fruit Juice,Vegeterian,",60,,https://drive.google.com/file/d/1XWxK7uoHR0YdXYlWzRSpVWnyAKPqSJfd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/FreshLimeSoda.jpg,,
Apple Juice,ProductType,10,"Inventory,Food,Restaurant,Fresh Fruit Juice,Vegeterian,",90,,https://drive.google.com/file/d/1SSByeYHJ7OOY4sbQnftcyiadxrpfgoo5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AppleJuice.jpg,90,90
Mastani,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1eq3bCCXKRxUzQh-Z-1HSdykhPW8SDxQL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/mastani.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Mastani,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Mastani,",,,,,,
Dryfruit Mastani,ProductType,4,"Inventory,Food,Restaurant,Mastani,Vegeterian,",170,,https://drive.google.com/file/d/1uRrv-3hlXoJ9mpA1QluLcOh_mUdbtmZT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DryFruitMastani.jpg,170,170
Mango Mastani,ProductType,5,"Inventory,Food,Restaurant,Mastani,Vegeterian,",170,,https://drive.google.com/file/d/1x1W3-4w0CLGLlbwKYCXVTc1dCDP448KA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MangoMastani.jpg,170,170
Strawberry Mastani,ProductType,6,"Inventory,Food,Restaurant,Mastani,Vegeterian,",170,,https://drive.google.com/file/d/1-VrZqVxwSpNRlhYrK4cz28hbVT-V4bK-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Strawberry-Mastani.jpg,170,170
Pista Mastani,ProductType,7,"Inventory,Food,Restaurant,Mastani,Vegeterian,",170,,https://drive.google.com/file/d/1ALwWxYVMMpRyCD7NXuOiLASyT_oQayrZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/PistaMastani.jpg,170,170
Chocolate Mastani,ProductType,8,"Inventory,Food,Restaurant,Mastani,Vegeterian,",170,,https://drive.google.com/file/d/1SofbABMDvQhAQN6Jr5mHXizE0C-mgjJb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/ChocolateMastani.jpg,170,170
Fruit Salad,ProductType,9,"Inventory,Food,Restaurant,Mastani,Vegeterian,",100,,https://drive.google.com/file/d/1kYhYOMSfljm_u87hykH_87E_eg0zapEw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FruitSalad.jpg,,
Fruit salad With Ice Cream,ProductType,10,"Inventory,Food,Restaurant,Mastani,Vegeterian,",120,,https://drive.google.com/file/d/1eSd3nwlZ6rPxe7Whq5jPPLu6w2JSvq3L/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FruitSaladWithIceCream.jpg,,
Sweet,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/sweet.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Sweet,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Sweet,",,,,,,
Gulab Jamun,ProductType,4,"Inventory,Food,Restaurant,Sweet,Vegeterian,",40,,https://drive.google.com/file/d/1TbtnkGTLMpu0NDPKRVb7_KyhTDD652nr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/GulabJamun.jpg,40,40
Rasgulla,ProductType,5,"Inventory,Food,Restaurant,Sweet,Vegeterian,",40,,https://drive.google.com/file/d/1orvad5GiuRdQdLPl_CJqtXjn4iMwOLm_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rasgulla.jpg,40,40
Shrikhand,ProductType,6,"Inventory,Food,Restaurant,Sweet,Vegeterian,",35,,https://drive.google.com/file/d/1qz4zlrECK1kE_NAgnmtH2tD03CwdHYWf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shrikhand.jpg,35,35
Rabdi,ProductType,7,"Inventory,Food,Restaurant,Sweet,Vegeterian,",120,,https://drive.google.com/file/d/1DBpZPU_5drbusvLkHJGR0X6bzgLK8CCb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food281221/Rabdi.jpg,,
Sitaphal Rabdi,ProductType,8,"Inventory,Food,Restaurant,Sweet,Vegeterian,",120,,https://drive.google.com/file/d/1BdY9afDQlC-nhuWIu5zCYtIvgrJau9ND/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/SitaphalRabdi.jpg,,
Sandwich,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sandwich.jpg,,
