label,nodeType,order,path,price,ingredients,link,imageLink,Swiggy ,Zomato,description
Veg Gravy Half,ProductUnit,32,"Inventory,Food,Restaurant,Entree,Vegeterian,Veg Gravy,",50,, ,,,,
Veg Gravy Full,ProductUnit,33,"Inventory,Food,Restaurant,Entree,Vegeterian,Veg Gravy,",80,, ,,,,
Paneer,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/13u42yW48_UcPT6sRYvJknZkWwvndeHq-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food123021/PANEER.jpg,,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Paneer,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Paneer,",,,,,,,
Palak Paneer,ProductType,4,"Inventory,Food,Restaurant,Paneer,Vegeterian,",140,"  Spinach, pureed, Paneer cubes,  Oil,  Cumin seeds, Bay leaf,  Ginger, finely chopped,  Garlic, finely chopped,  Onion paste (boiled), grated,  Tomato, pureed,  Salt,  Garam masala,  Red pepper, powdered,  Coriander powder,  Black cardamom (crushed),  Cream.",https://drive.google.com/file/d/15TSU15zdBHcKR9I_i1fBqvMPLl4_FgN7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PalakPaneer.jpg,,150,
Paneer Masala,ProductType,5,"Inventory,Food,Restaurant,Paneer,Vegeterian,",140,"Garam Masala Powder  ,Coriander Powder  ,Coriander Leaves  , Curry Leaves  ,Salt  ,Oil  ,Paneer  ",https://drive.google.com/file/d/1qYwzOkLWokms8zuBp2TCUDb8DJfV9w2S/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMasala.jpg,,150,
Paneer Butter Masala,ProductType,6,"Inventory,Food,Restaurant,Paneer,Vegeterian,",150,"Cashew  ,Chilly  ,Chilly powder  ,turmeric powder  , Garam masala  ,Butter  ,Paneer  ",https://drive.google.com/file/d/1hxW4pcTbsHP6Ql9I_VfGsXwGKF6m006R/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerButterMasala.jpg,,160,
Paneer Tikka Masala,ProductType,7,"Inventory,Food,Restaurant,Paneer,Vegeterian,",150,,https://drive.google.com/file/d/1BmyxNFwPwf7zpalxZOSRuGMcKOWv1EoQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerTikkaMasala.jpg,,160,
Paneer Varhadi,ProductType,8,"Inventory,Food,Restaurant,Paneer,Vegeterian,",140,,https://drive.google.com/file/d/1bVo0Papzf88UOwF9IJzteEqsXJ_dARCA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerVarhadi.jpg,,,
Paneer Bhurji,ProductType,9,"Inventory,Food,Restaurant,Paneer,Vegeterian,",200,,https://drive.google.com/file/d/1LZZA3_svXkXtLnQWAZxfqenp_2-30QI-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerBhurji.jpg,,,
Paneer Bhurji Curry,ProductType,10,"Inventory,Food,Restaurant,Paneer,Vegeterian,",200,"  oil,  butter,  cumin, onion,  ginger garlic paste,  turmeric,  chilli powder,cumin powder,  coriander powder,salt,  besan   flour, tomato,capsicum,  water,  paneer  cottage cheese ,garam masala,  kasuri methi ,  coriander .",https://drive.google.com/file/d/1StioZG2UmH51Sjli5ETMu1HGn-RZqjfM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerBhurjiCurry.jpg,,200,
Paneer Kaju Masala,ProductType,11,"Inventory,Food,Restaurant,Paneer,Vegeterian,",150,,https://drive.google.com/file/d/1AGNrAkqtM6JP5SPTBrIrjqgW4lHKZBeU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerKajuMasala.jpg,,160,
Paneer Kadai,ProductType,12,"Inventory,Food,Restaurant,Paneer,Vegeterian,",180,"gingergarlic paste  ,tomato paste  ,cumin powder  ,coriander powder  ,garam masala powder  ,turmeric powder  ,red chili powder  ,paneer cubes  s",https://drive.google.com/file/d/1XGINKnRA5noOl2-dVsUXFUaDbO_Zft62/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerKadai.jpg,,,
Paneer Makkhanvala,ProductType,13,"Inventory,Food,Restaurant,Paneer,Vegeterian,",190,,https://drive.google.com/file/d/1i1LE8xZXQGxnupX6mWIZTGMKY-_9Fqf_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMakkhanvala.jpg,,,
Paneer Amrutsari,ProductType,14,"Inventory,Food,Restaurant,Paneer,Vegeterian,",180,,https://drive.google.com/file/d/1AbhsuB-ZaI1c_MrJAAEFwze-b6soqSd5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerAmrutsari.jpg,,,
Veg Anda Curry,ProductType,15,"Inventory,Food,Restaurant,Paneer,Vegeterian,",150,"  paneer,  salt,  turmeric, potato ,  corn flour,salt,oil (for frying), inch ginger, cloves garlic, onion , tomato ,  oil, bay leaf, inch cinnamon,  cumin,onion,  turmeric,  chilli powder,coriander powder,cumin powder,garam masala,  salt,curd,  water,  kasuri methi,  coriander.",https://drive.google.com/file/d/18C0IFUovAUNodzfNJLpDHWfq0xMzyTPG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegAndaCurry.jpg,,160,
Boil Egg,ProductType,4,"Inventory,Food,Restaurant,Snacks,Non-Vegeterian,",30,,https://drive.google.com/file/d/1gxBpyDIF0r4P1_A-VswrDu_lqqpHrJIB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BoilEgg.jpg,,,
Boil Fry,ProductType,5,"Inventory,Food,Restaurant,Snacks,Non-Vegeterian,",40,, ,,,,
Egg Omlette,ProductType,6,"Inventory,Food,Restaurant,Snacks,Non-Vegeterian,",60,"Egg  , Onion  ,chillies  ,Salt,etc",https://drive.google.com/file/d/189E4rZl5z9WNIR1vHaSM2PagYi-ApM0L/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220224/EggOmlette.jpg,,,
Anda Bhurji,ProductType,7,"Inventory,Food,Restaurant,Snacks,Non-Vegeterian,",70,"""Chop Green Chili  ,Chop Garlic Cloves  ,Chop Green Dhaniya  ,Salt,  ,Red Chili Powder  ,Haldi  pinch,Garam Masala  pinch,Milk  ,Eggs  ",https://drive.google.com/file/d/1wi9l6ECzOYiNdYtzPD6dpatQrKA0pKSR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AndaBhurji.jpg,,,
Half Fry,ProductType,8,"Inventory,Food,Restaurant,Snacks,Non-Vegeterian,",60," egg,Oil or butter,Salt  ,Pepper .",https://drive.google.com/file/d/1jE7Tf43Ju2_5P-UHRFVKLvrx0PL6MTy_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/HalfFry.jpg,,,
