label,nodeType,order,path,price,link,imageLink,description
Veg Maratha,ProductType,17,"Inventory,Food,Restaurant,Entree,Vegeterian,",170,https://drive.google.com/file/d/11npxFNMHAT_8ZUmXoQfJPlwBvEI85GCn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Maratha.jpg,
Dum Aloo Kashmiri,ProductType,18,"Inventory,Food,Restaurant,Entree,Vegeterian,",170,https://drive.google.com/file/d/13Lb8mhqamCd0oc8Nuul21GkqceekVjoR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DumAlooKashmiri.jpg,
Kumbh Masala,ProductType,19,"Inventory,Food,Restaurant,Entree,Vegeterian,",190,https://drive.google.com/file/d/15v77n9ew8BPiEbncIEgM3dD8efUXX5Cv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KumbhMasala.jpg,
Baigan Masala,ProductType,20,"Inventory,Food,Restaurant,Entree,Vegeterian,",180,https://drive.google.com/file/d/1r4aTUAlIRkkqBI_OnVLcGAK3JW2VF6rk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/baiganmasala.jpg,
Veg Payzee,ProductType,21,"Inventory,Food,Restaurant,Entree,Vegeterian,",170,,,
Mix Veg,ProductType,22,"Inventory,Food,Restaurant,Entree,Vegeterian,",180,https://drive.google.com/file/d/1ck00uoIiKEXjtfN1K8Zx7xfA2Dsc5VeU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MixVeg.jpg,
Bhindi Kurkuri,ProductType,23,"Inventory,Food,Restaurant,Entree,Vegeterian,",200,https://drive.google.com/file/d/124V19Gk4-5veh8zQd0t9EHfW3cIK1e42/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BhindiKurkuri.jpg,
Dum Aloo,ProductType,24,"Inventory,Food,Restaurant,Entree,Vegeterian,",180,https://drive.google.com/file/d/1V-hGDvpgOZi7F5evfIoNc_wuykHbEJDR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DumAloo.jpg,
Veg Kolhapuri,ProductType,25,"Inventory,Food,Restaurant,Entree,Vegeterian,",180,https://drive.google.com/file/d/1m1uzUXSxt9B7c1QZzLM8f5Xkfl5SnP3e/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegKolhapuri.jpg,
Hariyali Kofta,ProductType,26,"Inventory,Food,Restaurant,Entree,Vegeterian,",190,https://drive.google.com/file/d/1KWuaQZJsgPiadR__BiE2LfBaAgl8rIJX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/HariyaliKofta.jpg,
