label,nodeType,order,path,price,link,imageLink,description
Mutter Paneer Full,ProductUnit,34,"Inventory,Food,Restaurant,Entree,Vegeterian,Mutter Paneer,",180,https://drive.google.com/file/d/1uCzu3a5GikkpIMLMyVCOYzL0gNQFUElc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MutterPaneer.jpg,
Mutter Paneer Half,ProductUnit,35,"Inventory,Food,Restaurant,Entree,Vegeterian,Mutter Paneer,",120,https://drive.google.com/file/d/1uCzu3a5GikkpIMLMyVCOYzL0gNQFUElc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MutterPaneer.jpg,
Palak Paneer,ProductType,36,"Inventory,Food,Restaurant,Entree,Vegeterian,",130,https://drive.google.com/file/d/15TSU15zdBHcKR9I_i1fBqvMPLl4_FgN7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PalakPaneer.jpg,
Palak Paneer Full,ProductUnit,37,"Inventory,Food,Restaurant,Entree,Vegeterian,Palak Paneer,",130,https://drive.google.com/file/d/1LFwqUnAKtT2Bvn-bUBbATS5IYa6T-bGh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/PalakPaneerFull.jpg,
Shahi Paneer,ProductType,38,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,https://drive.google.com/file/d/15ewjBYijJzsvJfnokYZXpXVvYnSXO8Qs/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ShahiPaneer.jpg,
Shahi Paneer Full,ProductUnit,39,"Inventory,Food,Restaurant,Entree,Vegeterian,Shahi Paneer,",150,,,
Shahi Paneer Half,ProductUnit,40,"Inventory,Food,Restaurant,Entree,Vegeterian,Shahi Paneer,",100,https://drive.google.com/file/d/12NKIAzp4N7i2AGLB8Yxo8xQyc7aYQ_i9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/ShahiPaneerHalf.jpg,
Paneer Masala,ProductType,41,"Inventory,Food,Restaurant,Entree,Vegeterian,",160,https://drive.google.com/file/d/1qYwzOkLWokms8zuBp2TCUDb8DJfV9w2S/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMasala.jpg,
Paneer Masala Full,ProductUnit,42,"Inventory,Food,Restaurant,Entree,Vegeterian,Paneer Masala,",160,https://drive.google.com/file/d/1nfO5npotp7u1bniXWinUzzCvRiUMUhD7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMasalaFull.jpg,
Paneer Masala Half,ProductUnit,43,"Inventory,Food,Restaurant,Entree,Vegeterian,Paneer Masala,",110,https://drive.google.com/file/d/1fCE9bRArMAqcKsHPjczZRP_q90Hy0p1c/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMasalaHalf.jpg,
Paneer Bhurji,ProductType,44,"Inventory,Food,Restaurant,Entree,Vegeterian,",180,https://drive.google.com/file/d/1LZZA3_svXkXtLnQWAZxfqenp_2-30QI-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerBhurji.jpg,
Paneer Bhurji Full,ProductUnit,45,"Inventory,Food,Restaurant,Entree,Vegeterian,Paneer Bhurji,",180,https://drive.google.com/file/d/1mxOJtimvx_VE06u-4dO-oNcGEaD4MmdX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/PaneerBhurjiFull.jpg,
Paneer Bhurji Half,ProductUnit,46,"Inventory,Food,Restaurant,Entree,Vegeterian,Paneer Bhurji,",120,https://drive.google.com/file/d/1te9KOKJ4CuIwQ_V0H0cB9CozfJD7gy7L/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/PaneerBhurjiHalf.jpg,
Paneer Bhurji Curry,ProductType,47,"Inventory,Food,Restaurant,Entree,Vegeterian,",180,https://drive.google.com/file/d/1StioZG2UmH51Sjli5ETMu1HGn-RZqjfM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerBhurjiCurry.jpg,
Paneer Bhurji Curry Full,ProductUnit,48,"Inventory,Food,Restaurant,Entree,Vegeterian,Paneer Bhurji Curry,",180,https://drive.google.com/file/d/15qjaLhGJU9dsaBeoE0k35eg_I6GSatsV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/PaneerBhurjiCurryFull.jpg,
Paneer Bhurji Curry Half,ProductUnit,49,"Inventory,Food,Restaurant,Entree,Vegeterian,Paneer Bhurji Curry,",120,https://drive.google.com/file/d/1pnij_zTGxdOApOFMm2ggfT7NyMU59XFz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/PaneerBhurjiCurryHalf.jpg,
Paneer Mushroom,ProductType,50,"Inventory,Food,Restaurant,Entree,Vegeterian,",180,https://drive.google.com/file/d/1Le3_LCLZbxvuA1wj7e7W9P_fFHXEdovO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMushroom.jpg,
Paneer Mushroom Full,ProductUnit,51,"Inventory,Food,Restaurant,Entree,Vegeterian,Paneer Mushroom,",180,https://drive.google.com/file/d/1P-Ka2yunZj2yVt6fJ_el7yxKSCGI70N_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/PaneerMushroomFull.jpg,
