label,nodeType,order,path,price,link,imageLink,description
Chicken Chilli,ProductType,50,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",170,https://drive.google.com/file/d/1zccr03DUmOBDqoID5-I1IkcG9nR33fue/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenChilli.jpg,
Chicken Lollipop,ProductType,51,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",150,https://drive.google.com/file/d/1RkkCr_yex_M9CTZzbKIEWbdCEr0AKLJ6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenLollipop.jpg,
Chicken Leg Piece,ProductType,52,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",40,https://drive.google.com/file/d/1ODdpZhyNV57PXbgk6pBg5Q8D-M37-6jZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenLegPiece.jpg,
Chicken Masala,ProductType,53,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",170,https://drive.google.com/file/d/16eM27vE_lLNM8GKZT5a35PjfaUi0laY9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenMasala.jpg,
Chicken Moglai,ProductType,54,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",180,https://drive.google.com/file/d/1cvM7d7GC2_eg3GaWASZhP9XH7wZ6WvLf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenMoglai.jpg,
Butter Chicken,ProductType,55,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",180,https://drive.google.com/file/d/13BFw9Vk7UW7grE4fxHCmBswFC3wSG4uf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterChicken.jpg,
Butter Chicken Boneless,ProductType,56,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",190,https://drive.google.com/file/d/13uRWKXwKNfxq7CCM5wgkeluvP2otXb3K/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/ButterChickenBoneless.jpg,
Chicken Hyderabadi,ProductType,57,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",170,https://drive.google.com/file/d/1v4gBn4uLZGTEhpGbM-qIe35AV4AXhdBO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/ChickenHyderabadi.jpg,
Chicken Kurma,ProductType,58,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",180,https://drive.google.com/file/d/1BSawMwL60jfNk4ePsWeN_yDb8A61G4fT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/ChickenKurma.jpg,
Chicken Kolhapuri,ProductType,59,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",160,https://drive.google.com/file/d/1bWc_W7DKNzxS53IXTgHDSqj4gfK3f2wm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenKolhapuri.gif,
Chicken Maharaja,ProductType,60,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",180,https://drive.google.com/file/d/1WaUnrjrXIZcc7tzb-r8CiW8NrYFq_m0_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenMaharaja.jpg,
Chicken Shalimar,ProductType,61,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",180,https://drive.google.com/file/d/1Iwtc4GhcHlLWTpQrds50huTK6xVB9kso/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenShalimar.jpg,
Chicken Garlic,ProductType,62,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",170,https://drive.google.com/file/d/1DA1aGftxttdGBEkGsCZu8TWnLqvA_PnM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenGarlic.jpg,
