label,nodeType,order,path,price,description,link,imageLink,Zomato,Swiggy
Veg Hongkong Rice,ProductType,8,"Inventory,Food,Restaurant,Veg Rice,Vegeterian,",150,,https://drive.google.com/file/d/1tm51IijIFlGCGm3mo_gvQrAdv9B0MxzE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Hong-Kong-Rice.jpg,,
Veg Biryani,ProductType,9,"Inventory,Food,Restaurant,Veg Rice,Vegeterian,",120,,https://drive.google.com/file/d/1jR3STBQoAfkKOHnvdjdNXjOE5ZqtJexz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Biryani.jpg,,
Veg Shawarma,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/15e7Pwjod31Z7di87XjdiMCdbzShEYffm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220224/VegShawarma.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Shawarma,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Shawarma,",,,,,,
Paneer Shawarma,ProductType,4,"Inventory,Food,Restaurant,Veg Shawarma,Vegeterian,",100,,https://drive.google.com/file/d/11zC8JQqr5rZeDjEjWLpxR96GxjaMbr6e/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/PaneerShawarma.jpg,,
Veg Shawarma,ProductType,5,"Inventory,Food,Restaurant,Veg Shawarma,Vegeterian,",80,,https://drive.google.com/file/d/15e7Pwjod31Z7di87XjdiMCdbzShEYffm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220224/VegShawarma.jpg,,
Cheese shawarma,ProductType,6,"Inventory,Food,Restaurant,Veg Shawarma,Vegeterian,",100,,https://drive.google.com/file/d/1sDpCPop87m-2uL0Y_ThJQGqVpZ1oTugS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/CheeseShawarma.jpg,,
Chinese,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Chinese.jpg,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Chinese,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
