label,nodeType,order,path,price,description,ingredients,link,imageLink,Swiggy,Zomato
Chicken Popcorn 14pcs,ProductType,7,"Inventory,Food,Restaurant,Broasting,NonVegeterian,",89,,"Chicken boneless 250 gms,All Purpose Flour 1 cups,
Pepper powder or as per taste 1/4 tsp,black salt or use normal salt 1 tbsp,Chilly powder 1 tbsp,Onion powder 1 tsp,garlic powder 1/2 tsp,egg 1 nos,
Milk or as required 1 cups,Oil for deep frying 1 cups,
crushed cornflakes 1 cups",https://drive.google.com/file/d/1CrEfH-4-Jl6LDJrLu7orUbKYHVDn1aM2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/ChickenPopcorn14pcs.jpg,,
Chicken Bytes 6pcs,ProductType,8,"Inventory,Food,Restaurant,Broasting,NonVegeterian,",59,,,https://drive.google.com/file/d/1qJ2WRpJ6Zw2tRkDRqTTiX6CwyvK2OZje/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/ChickenBytes6pcs.jpg,,
Chicken Bytes 12pcs,ProductType,9,"Inventory,Food,Restaurant,Broasting,NonVegeterian,",109,,,https://drive.google.com/file/d/10aQV78cBzBORZmFPKJuTDhoy0tvHOZL0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/ChickenBytes12pcs.jpg,,
Chicken Wings 3Pcs,ProductType,10,"Inventory,Food,Restaurant,Broasting,NonVegeterian,",79,,"Chicken 200 grms,Egg 1,Ginger garlic paste 2tbsp,
Lemon 1/2,Bread crumbs 1 cup,All purpose flour 4tbsp,Turmeric 1tspChat masala 1tsp",https://drive.google.com/file/d/1PhKcjmP9tJ7d3kB8xjjOqjb7y_tuzwei/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/ChickenWings3Pcs.png,,
Chicken Wings 12pcs,ProductType,11,"Inventory,Food,Restaurant,Broasting,NonVegeterian,",149,,"Chicken 200 grms,Egg 1,Ginger garlic paste 2tbsp,
Lemon 1/2,Bread crumbs 1 cup,All purpose flour 4tbsp,Turmeric 1tsp,Chat masala 1tsp",https://drive.google.com/file/d/13YaJa5f6kBFBjCOIloSPw9WpKyT1ugWa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/imgs-2/ChickenWings.jpg,,
Chicken Strips 3Pcs,ProductType,12,"Inventory,Food,Restaurant,Broasting,NonVegeterian,",79,,,https://drive.google.com/file/d/1Cj4NmrpLrQfAo4NIR7sAwEr4yzpQBvba/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/ChickenStrips3Pcs.jpg,,
Chicken Strips 6Pcs,ProductType,13,"Inventory,Food,Restaurant,Broasting,NonVegeterian,",149,,,https://drive.google.com/file/d/10Bw_NGdvSaZDZKpN1hA6vGdHdzMOQmmj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/ChickenStrips6Pcs.jpg,,
Shawarma,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://drive.google.com/file/d/1Y54uPsTWjJovVUmdEGjBCx5cggJtSNE8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/Shawarma.jpg,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Shawarma,",,,,,,,
Vegeterian,ProductLine,3,"Inventory,Food,Restaurant,Shawarma,",,,,,,,
Chicken Shawarma,ProductType,4,"Inventory,Food,Restaurant,Shawarma,NonVegeterian,",50,,"1 kg chicken thighs,2 tbsp olive oil,1 tbsp salt,
1/4 tsp allspice,1/2 tsp cumin seeds,1/2 tbsp onion powder,2 tbsp paprika,1 tbsp oregano,1/2 tbsp white pepper,1 tsp black pepper,1/4 tsp turmeric",https://drive.google.com/file/d/1zAg5uhTgvHObBrNZkRF4QwOivb_3P1il/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/ChickenShawarma.jpg,,
Open Chicken Shawarma,ProductType,5,"Inventory,Food,Restaurant,Shawarma,NonVegeterian,",69,,,https://drive.google.com/file/d/1CHiWvT3joWL3ZeB1QW9hCdyzmzyzZqLt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/OpenChickenShawarma.jpg,,
Plate Chicken Shawarma,ProductType,6,"Inventory,Food,Restaurant,Shawarma,NonVegeterian,",69,,,https://drive.google.com/file/d/1EC-DwQVAApPndJ0bAURtrctAjXfBAYhL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/PlateChickenShawarma.jpg,,
Cheese Chicken Shawarma,ProductType,7,"Inventory,Food,Restaurant,Shawarma,NonVegeterian,",69,,,https://drive.google.com/file/d/1z3dGBjRb-eVG5U-mujoMknxPR7qfFWxD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/CheeseChickenShawarma.jpg,,
BH.Spl Arabian Chicken Shawarma,ProductType,8,"Inventory,Food,Restaurant,Shawarma,NonVegeterian,",79,,,https://drive.google.com/file/d/16FKZToItU2Heg2ZPBDR0piygykUmpPNh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/BHSplArabianChickenShawarma.jpg,,
Chicken Crispy Shawarma,ProductType,9,"Inventory,Food,Restaurant,Shawarma,NonVegeterian,",79,,,https://drive.google.com/file/d/1L_mrb-y_bbFEplO5P7dK6QsfkmrkwJ0d/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/ChickenCrispyShawarma.jpg,,
Non Veg Combos,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://drive.google.com/file/d/1NtjI_-fyjbo1Mykups2tdJCrMJtXXnKc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/NonVegCombos.jpg,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Non Veg Combos,",,,,,,,
Vegeterian,ProductLine,3,"Inventory,Food,Restaurant,Non Veg Combos,",,,,,,,
Chicken Crispy Burger+ Medium Fries+ Coke 200ml,ProductType,4,"Inventory,Food,Restaurant,Non Veg Combos,NonVegeterian,",99,,,https://drive.google.com/file/d/1iYudv9ywpGU59gRsENxycoN8pkIDJnwN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/ChickenCrispyBurgerMediumFriesCoke200ml.png,,
3 Chicken Burger+ Large Fries + Coke 500ml,ProductType,5,"Inventory,Food,Restaurant,Non Veg Combos,NonVegeterian,",209,,,https://drive.google.com/file/d/1fcLhco6U3WCOCEgDXpupa7_JarbHtwxh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/3ChickenBurgerLargeFriesCoke500ml.jpg,,
Buckets,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://drive.google.com/file/d/1mFdFNtr3JfvlnI-1oK_uUGhaWnRzdv05/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/Buckets.jpg,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Buckets,",,,,,,,
Vegeterian,ProductLine,3,"Inventory,Food,Restaurant,Buckets,",,,,,,,
Chicken Popcorn + 3 Pcs Chicken Strips + Medium Fries,ProductType,4,"Inventory,Food,Restaurant,Buckets,NonVegeterian,",159,,,https://drive.google.com/file/d/1x7u8H3OlNmP09YW3-NrEIDSI8dGDwNWD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/ChickenPopcorn3PcsChickenStripsMediumFries.jpg,,
3Pcs Chicken Wings + 3Pcs Chicken Strips + Chicken Bytes 6Pcs + Large Fries,ProductType,5,"Inventory,Food,Restaurant,Buckets,NonVegeterian,",249,,,https://drive.google.com/file/d/12eLRigKlaKyh9HTE5TdyDYMH5v5gq2Zi/view?usp=sharing,,,
2Pcs Chicken Drumsticks= 6Pcs Chicken Wings + 6 Pcs Chicken Strips,ProductType,6,"Inventory,Food,Restaurant,Buckets,NonVegeterian,",399,,,https://drive.google.com/file/d/124s8TCgOk0FVkBi6B-N_3moXyxMAPoU7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/2PcsChickenDrumsticks=6PcsChickenWings6PcsChickenStrips.jpg,,
