label,nodeType,order,path,price,link,imageLink,description
Paneer Butter Masala,ProductType,58,"Inventory,Food,Restaurant,Entree,Vegeterian,",140,https://drive.google.com/file/d/1hxW4pcTbsHP6Ql9I_VfGsXwGKF6m006R/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerButterMasala.jpg,
Paneer Masala,ProductType,59,"Inventory,Food,Restaurant,Entree,Vegeterian,",120,https://drive.google.com/file/d/1qYwzOkLWokms8zuBp2TCUDb8DJfV9w2S/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMasala.jpg,
Paneer Kaju,ProductType,60,"Inventory,Food,Restaurant,Entree,Vegeterian,",140,https://drive.google.com/file/d/1_w8q_GBmBBzx1CbWdUNXgVE5SLKk_RdD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerKaju.jpg,
Paneer Bhurji,ProductType,61,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,https://drive.google.com/file/d/1LZZA3_svXkXtLnQWAZxfqenp_2-30QI-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerBhurji.jpg,
Paneer Patiyala,ProductType,62,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,https://drive.google.com/file/d/1Qo49vPHnwNLKiiUxNnE9U3-FBF0_wAkj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerPatiyala.jpg,
Paneer Tikka Masala,ProductType,63,"Inventory,Food,Restaurant,Entree,Vegeterian,",140,https://drive.google.com/file/d/1BmyxNFwPwf7zpalxZOSRuGMcKOWv1EoQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerTikkaMasala.jpg,
Shahi Paneer,ProductType,64,"Inventory,Food,Restaurant,Entree,Vegeterian,",140,https://drive.google.com/file/d/15ewjBYijJzsvJfnokYZXpXVvYnSXO8Qs/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ShahiPaneer.jpg,
Palak Paneer,ProductType,65,"Inventory,Food,Restaurant,Entree,Vegeterian,",120,https://drive.google.com/file/d/15TSU15zdBHcKR9I_i1fBqvMPLl4_FgN7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PalakPaneer.jpg,
Paneer Handi,ProductType,66,"Inventory,Food,Restaurant,Entree,Vegeterian,",280,https://drive.google.com/file/d/16FIXd77bHP3EkwponZbxdiXpg0NC_-Vi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerHandi.jpg,
Paneer Handi Half,ProductUnit,67,"Inventory,Food,Restaurant,Entree,Vegeterian,Paneer Handi,",160,https://drive.google.com/file/d/1b5o6W19e_ZZHNCZMZm9hFifLbpEQwIhT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerHandiHalf.png,
Paneer Handi Full,ProductUnit,68,"Inventory,Food,Restaurant,Entree,Vegeterian,Paneer Handi,",280,https://drive.google.com/file/d/1vQqbWeboGWkXGtN9IBJLxDqjMBpqlTxI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerHandiFull.jpg,
Paneer Chatpta,ProductType,69,"Inventory,Food,Restaurant,Entree,Vegeterian,",140,https://drive.google.com/file/d/1Z6-PF4vpnNkd4dcABnAiXxNC5AlmYmiU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerChatpta.jpg,
Paneer Dilruba,ProductType,70,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,https://drive.google.com/file/d/1x7dpKVyHuVcC4LsR-3n3alV7jULuOqzH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerDilruba.jpg,
Paneer Maratha,ProductType,71,"Inventory,Food,Restaurant,Entree,Vegeterian,",140,https://drive.google.com/file/d/1tBp8wjDwMPGxjNaqcSgi5mayVXE8LBt6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMaratha.jpg,
Paneer Mutter Masala,ProductType,72,"Inventory,Food,Restaurant,Entree,Vegeterian,",130,https://drive.google.com/file/d/1zQNidBco1JAqZN1U6h8DMbJEAX4XBEq_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMutterMasala.jpg,
Paneer Tawa Masala,ProductType,73,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,https://drive.google.com/file/d/1uxGLZQOqbcJfX2ETzHna1EOanTslT9fu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerTawaMasala.jpg,
Paneer Mumtag,ProductType,74,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,https://drive.google.com/file/d/1powAob58EAkqGzdmmKVSzPRA5nR3gR3G/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMumtag.jpg,
Paneer Methi,ProductType,75,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,https://drive.google.com/file/d/1yZbXp8CmkFWykDob1hEeWfn2hMwVgfov/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMethi.jpg,
Paneer Kadhai,ProductType,76,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,https://drive.google.com/file/d/1v425-MjIQO41Ia8kdpAppuD9KKbVQJCt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerKadhai.jpg,
Paneer Pahadi,ProductType,77,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,https://drive.google.com/file/d/1LyUgPXhToUEpq6WJbocR5Ia4YyS30BLS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerPahadi.jpg,
Paneer Kofta,ProductType,78,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,https://drive.google.com/file/d/1KcYDcZ4QMe9pvL3rJhN3-ef5umFHRmhR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerKofta.jpg,
Paneer Kolhapuri,ProductType,79,"Inventory,Food,Restaurant,Entree,Vegeterian,",140,https://drive.google.com/file/d/1-J-2JnzyS-Oe3Ngjai14xQnDzBM_v3Da/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerKolhapuri.jpg,
Aloo Rassa,ProductType,80,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/16P6ptt8DW-AGIxyHbMfQy6b0NGrKf3-6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooRassa.jpg,
Aloo Jeera,ProductType,81,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1THYyiuCKuYuJ9nypldTM9ak7Xm86NTfr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/AlooJeera.jpg,
Aloo Mutter,ProductType,82,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/19YNKlvAvT3I_Fai-s4CDdCRupTBvXJTF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooMutter.jpg,
Aloo Tamato,ProductType,83,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1Pus8qxonoACFhaWql59Hfevifcl9FkbO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooTamato.jpg,
Aloo Methi,ProductType,84,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/15gA8gILheCEWu0zd0MSuWKyF2SBWY0-h/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooMethi.jpg,
Aloo Gobi Masala,ProductType,85,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1UozMvHOqkN4ZkBvn0XXrfi0r4Sxifhdq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooGobiMasala.jpg,
Aloo Palak,ProductType,86,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1QCdqn4vqczWuJfL6Hdl1PbYizCzuTvk_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/AlooPalak.jpg,
Baigan Handi Special,ProductType,87,"Inventory,Food,Restaurant,Entree,Vegeterian,",180,,,
