label,nodeType,order,path,price,link,imageLink,desciption
Paneer Dum Biryani,ProductType,13,"Inventory,Food,Restaurant,Rice,Vegeterian,",200,https://drive.google.com/file/d/1TcJviY67N6AJNGBUeMIIgYDW-9zmqZ0S/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerDumBiryani.jpg,
Kashmiri Pulav,ProductType,14,"Inventory,Food,Restaurant,Rice,Vegeterian,",150,https://drive.google.com/file/d/1WS70TmGf55XCNXOHfWjWGGCbVLxicy6b/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KashmiriPulav.jpg,
Manchurian Rice,ProductType,15,"Inventory,Food,Restaurant,Rice,Vegeterian,",150,https://drive.google.com/file/d/1Ch4wLqTOpUXAlrKTThDvGYmRd1iScQGs/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ManchurianRice.jpg,
Veg Schezwan Rice,ProductType,16,"Inventory,Food,Restaurant,Rice,Vegeterian,",150,https://drive.google.com/file/d/1-I-WSFeFbKd9hlnc9-xzXQYn5XKPgbKD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSchezwanRice.jpg,
Palak Khichadi,ProductType,17,"Inventory,Food,Restaurant,Rice,Vegeterian,",150,https://drive.google.com/file/d/1BX9D01Vrgi8zC7KWWoGVJsKD6UAMUVtZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PalakKhichadi.jpg,
Breads,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Bread.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Breads,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Breads,",,,,
Tawa Chapati,ProductType,3,"Inventory,Food,Restaurant,Breads,Vegeterian,",20,https://drive.google.com/file/d/1JXzzkn0u9amHVnj7kKoDG8gvKe2rhBGl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tawa-Chapati.jpg,
Butter Chapati,ProductType,4,"Inventory,Food,Restaurant,Breads,Vegeterian,",25,https://drive.google.com/file/d/1caizJDjMx1SJWxFLCQo3mIbbJRJ5ynbR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterChapati.jpg.crdownload.jpg,
Tandoori Roti,ProductType,5,"Inventory,Food,Restaurant,Breads,Vegeterian,",20,https://drive.google.com/file/d/1p6eNQrcVnNmzujXu2Tlh9MKJdIX9WyOK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/TandooriRoti.jpg,
Butter Roti,ProductType,6,"Inventory,Food,Restaurant,Breads,Vegeterian,",30,https://drive.google.com/file/d/1PNULLWY7VuyeG2a34qt5BEKw-7DMFTNG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ButterRoti.jpg,
Naan,ProductType,7,"Inventory,Food,Restaurant,Breads,Vegeterian,",50,https://drive.google.com/file/d/1HGpowHCtwGjO9lQu_UGtIBIw8scvg48S/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/Naan.jpg,
Butter Naan,ProductType,8,"Inventory,Food,Restaurant,Breads,Vegeterian,",60,https://drive.google.com/file/d/1MtQMs3CTx3V8aidYwZMPC4fkYQr9cYrr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterNaan.jpg,
Garlic Naan,ProductType,9,"Inventory,Food,Restaurant,Breads,Vegeterian,",60,https://drive.google.com/file/d/1ZrjzImNdtXyFGwa8e1Mzd7oH4glw7hFg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/GarlicNaan.jpg,
Garlic Roti,ProductType,10,"Inventory,Food,Restaurant,Breads,Vegeterian,",50,https://drive.google.com/file/d/1wtxbAj298WvKMtYOxqUgndhVh4_EBhWj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GarlicRoti.jpg,
Missi Roti,ProductType,11,"Inventory,Food,Restaurant,Breads,Vegeterian,",50,https://drive.google.com/file/d/1fXmRC6q8Zz7CyJp1LMC6BPnEAnyv_5yM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MissiRoti.jpg,
