label,nodeType,order,path,price,description,link,imageLink,Swiggy
Chocolate,ProductType,8,"Inventory,Food,Cafe,Milkshakes,Vegeterian,",60,,https://drive.google.com/file/d/1vbhRpgGOEXu0lFsV4zyilBdw7b0WEMlg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Chocolate.jpg,
Milkshakes with Ice Cream,ProductLine,9,"Inventory,Food,Cafe,Milkshakes,Vegeterian,",,,https://drive.google.com/file/d/1Cc6C0Z3KrR3COSwC3TI7EfhN0GNtlU4f/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/MilkshakeswithIceCream.jpg,
Green Apple With Vanilla,ProductType,10,"Inventory,Food,Cafe,Milkshakes,Vegeterian,",65,,,,
Black Current With Vanilla,ProductType,11,"Inventory,Food,Cafe,Milkshakes,Vegeterian,",65,,https://drive.google.com/file/d/1cza8ZYKJaFvnpxub6Zy6wVq8yr7kN6YF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/BlackCurrentWithVanilla.jpg,
Chocolate with Chocolate,ProductType,12,"Inventory,Food,Cafe,Milkshakes,Vegeterian,",65,,https://drive.google.com/file/d/1hJPHQKyPF1VSPQPJGOYamgzWMCucerZo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/ChocolatewithChocolate.jpg,
Mango With Vanilla,ProductType,13,"Inventory,Food,Cafe,Milkshakes,Vegeterian,",65,,https://drive.google.com/file/d/1bXcvkbO3o0rEk56kmfU_CaLFXxT6p_hz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/MangoWithVanilla.jpg,
Strawberry With Vanilla,ProductType,14,"Inventory,Food,Cafe,Milkshakes,Vegeterian,",65,,https://drive.google.com/file/d/1Fbe_Y1EyzkFRWbfUErhWmZ7pM26H47jN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/StrawberryWithVanilla.jpg,
Beverages,ProductClass,1,"Inventory,Food,Cafe,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Beverages.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Beverages,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Beverages,",,,,,
Hot Coffee,ProductType,4,"Inventory,Food,Cafe,Beverages,Vegeterian,",30,,https://drive.google.com/file/d/1cfiDDRvwcGudhk_KsazZCi2zso-l8t3e/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/HotCoffee.jpg,35
Plain Cold Coffee,ProductType,5,"Inventory,Food,Cafe,Beverages,Vegeterian,",35,,https://drive.google.com/file/d/1gXTHonaJkgENJ0QqxKvhvm0hE9cYVy0n/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Plain-Cold-Coffee.jpg,
Cold Coffee With Chocolate,ProductType,6,"Inventory,Food,Cafe,Beverages,Vegeterian,",60,,https://drive.google.com/file/d/1q7E2DtTjlsc5QXziqX1sEf2Nyb8mSRRL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/ColdCoffeeWithChocolate.jpg,
Cold Coffee With Vanilla,ProductType,7,"Inventory,Food,Cafe,Beverages,Vegeterian,",55,,https://drive.google.com/file/d/1t-tmqxaC_R_84gWP3wA1B85TMhOZE3_J/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/ColdCoffeeWithVanilla.jpg,
Butterscotch Cold Coffee,ProductType,8,"Inventory,Food,Cafe,Beverages,Vegeterian,",50,,https://drive.google.com/file/d/1o4URMfCS8blj9qowvEQUlvZ53Zj5YqGo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/ButterscotchColdCoffee.jpg,
Butterscotch Cold Coffee With Butterscotch,ProductType,9,"Inventory,Food,Cafe,Beverages,Vegeterian,",60,,https://drive.google.com/file/d/1NOnNgunC1hHXeOVzZDnmOe8Xup8Z_6cv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/ButterscotchColdCoffeeWithButterscotch.jpg,
Butterscotch With Vanilla,ProductType,10,"Inventory,Food,Cafe,Beverages,Vegeterian,",60,,https://drive.google.com/file/d/13MI_4Aasyw_TGXBvB7q6X8zteRNLN6X8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/ButterscotchWithVanilla.jpg,
Butterscotch With Whipped Cream,ProductType,11,"Inventory,Food,Cafe,Beverages,Vegeterian,",95,,https://drive.google.com/file/d/17I6xKgu8i5f15PP9NQimAWh4CEB4LGaW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/ButterscotchWithWhippedCream.jpg,
