label,nodeType,order,path,price,description,link,imageLink,Swiggy
Baigan Masala,ProductType,51,"Inventory,Food,Restaurant,Main Course,Vegeterian,",170,,https://drive.google.com/file/d/1r4aTUAlIRkkqBI_OnVLcGAK3JW2VF6rk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/baiganmasala.jpg,
Baigan Maratha,ProductType,52,"Inventory,Food,Restaurant,Main Course,Vegeterian,",170,,https://drive.google.com/file/d/11nE-Q1fwt0KADsALw8DLsIN6XxpfW6nN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/BaiganMaratha.jpg,
Baigan Bharta,ProductType,53,"Inventory,Food,Restaurant,Main Course,Vegeterian,",180,,https://drive.google.com/file/d/1KDfimDOmvKJT-0PplaK058AVtionrKCa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BaiganBharta.jpg,
Gobi Mutter,ProductType,54,"Inventory,Food,Restaurant,Main Course,Vegeterian,",170,,https://drive.google.com/file/d/1_tgf5UCMy17V9cx-5vh0l4u6gpLw00Yr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/GobiMutter.jpg,
Gobi Masala,ProductType,55,"Inventory,Food,Restaurant,Main Course,Vegeterian,",170,,https://drive.google.com/file/d/1COWKM46hafRmzQy4uTTfPIXcAvZaZF7a/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GobiMasala.jpg,
Gobi Hyderabadi,ProductType,56,"Inventory,Food,Restaurant,Main Course,Vegeterian,",170,,https://drive.google.com/file/d/1g8teYH2K0gWO1lePUbx3gDRF0AWRww4L/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/GobiHyderabadi.jpg,
Tomato Chutney,ProductType,57,"Inventory,Food,Restaurant,Main Course,Vegeterian,",170,,https://drive.google.com/file/d/12EgS7ysa0DovVts2meTT_dNJ034g0f3V/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tomato-Chutney.jpg,
Stuff Tomato,ProductType,58,"Inventory,Food,Restaurant,Main Course,Vegeterian,",180,,https://drive.google.com/file/d/1T7N-PXVnwKZF0wl3veOXjuAXH18dUZUQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/StuffTomato.jpg,
Tomato Bharta,ProductType,59,"Inventory,Food,Restaurant,Main Course,Vegeterian,",180,,https://drive.google.com/file/d/1vGgjR_Xpi1kDXQl36pYXc6MHzMIJMy4D/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/TomatoBharta.jpg,
Stuff Capsicum,ProductType,60,"Inventory,Food,Restaurant,Main Course,Vegeterian,",180,,https://drive.google.com/file/d/1zbAgPXHvocsxqRhYD-6Gn6aPtwj-JkeU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/StuffCapsicum.jpg,
Capsicum Masala,ProductType,61,"Inventory,Food,Restaurant,Main Course,Vegeterian,",170,,https://drive.google.com/file/d/1qQzZG_XPTUv-v1gA6xuCN3X0-d0KD1ZY/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodinventoryimages1112062022/CapsicumMasala.jpg,
Green Peas Masala,ProductType,62,"Inventory,Food,Restaurant,Main Course,Vegeterian,",170,,https://drive.google.com/file/d/1lFZ3npwGGcVr8CkPFRJngdVNnR0WOGZL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GreenPeasMasala.jpg,
Chana Masala,ProductType,63,"Inventory,Food,Restaurant,Main Course,Vegeterian,",170,,https://drive.google.com/file/d/1nZdItXvChE8U5tIvcRPEw-xj1k3IGUsu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ChanaMasala.jpg,
Chole Punjabi,ProductType,64,"Inventory,Food,Restaurant,Main Course,Vegeterian,",180,,https://drive.google.com/file/d/1awhjCZHrYCLc2RIRT2rmAEUsRG7unNY6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/CholePunjabi.jpg,
Veg Kofta,ProductType,65,"Inventory,Food,Restaurant,Main Course,Vegeterian,",170,,https://drive.google.com/file/d/1Mvg_zicUKWbqy17-QkdNaNjk6pwcqvxT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Kofta.jpg,
Malai Kofta,ProductType,66,"Inventory,Food,Restaurant,Main Course,Vegeterian,",210,,https://drive.google.com/file/d/1VLPs06se6YOpnFqheEoxjS2W43ntezp8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MalaiKofta.jpg,
Nargis Kofta,ProductType,67,"Inventory,Food,Restaurant,Main Course,Vegeterian,",210,,https://drive.google.com/file/d/1caA_Q3p4SKPESr6_NhypARbvGAR74tQB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/NargisKofta.jpg,
Banarasi Kofta,ProductType,68,"Inventory,Food,Restaurant,Main Course,Vegeterian,",210,,https://drive.google.com/file/d/1OhW51o4fpmwziO022ExwOsxKzddBMwQD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/BanarasiKofta.jpg,
Paneer Kofta,ProductType,69,"Inventory,Food,Restaurant,Main Course,Vegeterian,",320,,https://drive.google.com/file/d/1KcYDcZ4QMe9pvL3rJhN3-ef5umFHRmhR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerKofta.jpg,
Sai Special Veg,ProductType,70,"Inventory,Food,Restaurant,Main Course,Vegeterian,",240,,,,
Veg Handi,ProductType,71,"Inventory,Food,Restaurant,Main Course,Vegeterian,",180,,https://drive.google.com/file/d/1OMBGMs1tQ-dGKZ241ojy_oozXgbRceTn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Handi.jpg,
Veg Diwani Handi,ProductType,72,"Inventory,Food,Restaurant,Main Course,Vegeterian,",200,,https://drive.google.com/file/d/1thGbfiWYua9ViIScqlyGLwCXG7HnAjqW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/vegDiwaniHandi.jpg,
Veg Kadai,ProductType,73,"Inventory,Food,Restaurant,Main Course,Vegeterian,",190,,https://drive.google.com/file/d/1Qw5Oe1JTdDI6JvQhuyRuCTqULE1Jk_i8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Kadai.jpg,
Veg Tawa Masala,ProductType,74,"Inventory,Food,Restaurant,Main Course,Vegeterian,",190,,https://drive.google.com/file/d/1NzW9VOnrYjYoaS7FYCI9zUfKKFxIT0l4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegTawaMasala.jpg,
Veg Sham Savera,ProductType,75,"Inventory,Food,Restaurant,Main Course,Vegeterian,",190,,https://drive.google.com/file/d/1tWVVg2c446fG9wRYZe9EqyXxKree8Jf-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/VegShamSavera.jpg,
Veg Bhoona,ProductType,76,"Inventory,Food,Restaurant,Main Course,Vegeterian,",190,,https://drive.google.com/file/d/1NFKEaoHrDB9Lu18WU2d_lPeaEHuHqVPL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/grocery20220203/VegBhoona.jpg,
